date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-05-16,2025-05-16 13:39:00+00:00,2025-05-16T14:02:00.000000,long,Normal,1.11944,1.11859,1.12199,1.11859,8.5,0.1,8.63,loss,-8.63,279.19,1,divergence|quarters|magnets,1.11879,False,neutral,long,long
2025-06-09,2025-06-09 13:30:00+00:00,,long,Normal,1.13962,1.13844,1.14316,1.13844,11.8,0.07,8.38,loss,-8.38,270.81,1,quarters|magnets,1.13864,False,short,long,neutral
2025-06-20,2025-06-20 14:52:00+00:00,,long,Normal,1.15075,1.1493,1.1551,1.1493,14.5,0.05,8.12,loss,-8.12,262.69,1,divergence|magnets,1.1495,False,neutral,long,long
2025-06-24,2025-06-24 13:35:00+00:00,2025-06-24T14:09:00.000000,long,Normal,1.15861,1.158,1.16044,1.16044,6.1,0.14,7.88,win,23.64,286.33,1,divergence|magnets,1.1582,False,neutral,neutral,neutral
2025-06-24,2025-06-24 13:37:00+00:00,2025-06-24T14:15:00.000000,long,Normal,1.15871,1.158,1.16084,1.16084,7.1,0.13,8.59,win,25.77,312.1,2,divergence|magnets,1.1582,False,neutral,neutral,neutral
2025-07-01,2025-07-01 15:08:00+00:00,2025-07-01T15:16:00.000000,long,Normal,1.17761,1.17706,1.17926,1.17706,5.5,0.17,9.36,loss,-9.36,302.74,1,divergence|magnets,1.17726,False,neutral,neutral,neutral
2025-07-08,2025-07-08 14:31:00+00:00,,long,Normal,1.16962,1.16805,1.17433,1.16805,15.7,0.06,9.08,loss,-9.08,293.66,1,divergence|quarters|magnets,1.16825,False,neutral,long,long
2025-07-15,2025-07-15 14:57:00+00:00,2025-07-15T15:03:00.000000,long,Normal,1.16187,1.16131,1.16355,1.16131,5.6,0.15,8.81,loss,-8.81,284.85,1,divergence|quarters|magnets,1.16151,False,neutral,long,long
2025-07-16,2025-07-16 13:58:00+00:00,2025-07-16T14:54:00.000000,long,Normal,1.15731,1.15611,1.16091,1.15731,12.0,0.07,8.55,be,0.0,284.85,1,divergence|quarters|magnets,1.15631,False,neutral,long,long
2025-07-16,2025-07-16 14:24:00+00:00,2025-07-16T14:38:00.000000,long,Normal,1.15703,1.15643,1.15883,1.15643,6.0,0.14,8.55,loss,-8.55,276.3,2,divergence|quarters|magnets,1.15663,True,neutral,long,long
2025-07-22,2025-07-22 14:03:00+00:00,2025-07-22T14:43:00.000000,short,Normal,1.16996,1.17065,1.16789,1.17065,6.9,0.12,8.29,loss,-8.29,268.01,1,divergence|magnets,1.17045,False,neutral,short,short
2025-07-23,2025-07-23 16:09:00+00:00,2025-07-23T17:03:00.000000,short,Normal,1.17564,1.17626,1.17378,1.17564,6.2,0.13,8.04,be,0.0,268.01,1,divergence|quarters|magnets,1.17606,False,neutral,short,short
