date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence
2024-08-30,2024-08-30 12:35:00+00:00,,short,Normal,1.10749,1.10866,1.10398,1.10866,11.7,0.08,9.66,loss,-9.66,956.62,2,divergence|gap,asia_high,2,1.10846,False
2024-09-04,2024-09-04 14:14:00+00:00,2024-09-04T14:16:00.000000,short,Normal,1.1067,1.10733,1.10481,1.10733,6.3,0.15,9.57,loss,-9.57,947.06,1,magnets|gap,prev_day_high,3,1.10713,False
2024-09-05,2024-09-05 13:14:00+00:00,2024-09-05T13:17:00.000000,short,Sierra,1.10952,1.10982,1.10862,1.10982,3.0,0.31,9.47,loss,-9.47,937.59,1,quarters|gap,prev_day_high,3,1.10962,False
2024-09-06,2024-09-06 13:54:00+00:00,2024-09-06T13:59:00.000000,long,Normal,1.10732,1.10704,1.10816,1.10816,2.8,0.34,9.38,win,28.13,965.71,1,divergence|magnets,prev_day_low,3,1.10724,False
2024-09-06,2024-09-06 14:10:00+00:00,2024-09-06T15:00:00.000000,long,Normal,1.10822,1.10711,1.11155,1.11155,11.1,0.09,9.66,win,28.97,994.68,2,divergence|magnets,prev_day_low,3,1.10731,False
2024-09-10,2024-09-10 12:55:00+00:00,2024-09-10T13:50:00.000000,long,Normal,1.10293,1.1025,1.10422,1.1025,4.3,0.23,9.95,loss,-9.95,984.74,1,quarters|magnets,asia_low,2,1.1027,False
2024-09-11,2024-09-11 13:04:00+00:00,2024-09-11T13:50:00.000000,long,Normal,1.1019,1.10106,1.10442,1.10106,8.4,0.12,9.85,loss,-9.85,974.89,1,divergence|magnets,prev_day_low,3,1.10126,False
2024-09-13,2024-09-13 14:08:00+00:00,2024-09-13T16:01:00.000000,short,Normal,1.10917,1.10951,1.10815,1.10815,3.4,0.3,9.75,win,29.25,1004.14,1,quarters|magnets|gap,asia_high,2,1.10931,False
2024-09-13,2024-09-13 14:45:00+00:00,2024-09-13T16:06:00.000000,short,Normal,1.10902,1.10938,1.10794,1.10794,3.6,0.29,10.04,win,30.12,1034.26,2,quarters|magnets|gap,asia_high,2,1.10918,False
2024-09-17,2024-09-17 12:52:00+00:00,2024-09-17T13:02:00.000000,long,Normal,1.11229,1.11187,1.11355,1.11187,4.2,0.24,10.34,loss,-10.34,1023.92,1,divergence|magnets,asia_low,2,1.11207,False
2024-09-18,2024-09-18 14:37:00+00:00,2024-09-18T15:06:00.000000,long,Normal,1.11103,1.11069,1.11205,1.11205,3.4,0.31,10.24,win,30.72,1054.64,1,divergence|quarters|magnets,prev_day_low,3,1.11089,False
2024-09-20,2024-09-20 12:32:00+00:00,2024-09-20T12:45:00.000000,short,Normal,1.11679,1.11725,1.11541,1.11725,4.6,0.23,10.55,loss,-10.55,1044.09,1,divergence|magnets|gap,asia_high,2,1.11705,True
2024-09-25,2024-09-25 14:05:00+00:00,2024-09-25T14:09:00.000000,short,Normal,1.11897,1.11943,1.11759,1.11943,4.6,0.22,10.44,loss,-10.44,1033.65,1,quarters|gap,prev_day_high,3,1.11923,False
2024-09-26,2024-09-26 13:10:00+00:00,2024-09-26T13:18:00.000000,short,Normal,1.11461,1.11484,1.11392,1.11392,2.3,0.46,10.34,win,31.01,1064.66,1,divergence|quarters|gap,asia_high,2,1.11464,True
2024-09-26,2024-09-26 14:10:00+00:00,2024-09-26T14:20:00.000000,long,Normal,1.11302,1.11258,1.11434,1.11434,4.4,0.25,10.65,win,31.94,1096.6,2,divergence|magnets,asia_low,2,1.11278,False
2024-09-27,2024-09-27 12:07:00+00:00,2024-09-27T12:08:00.000000,long,Normal,1.11609,1.11585,1.11681,1.11585,2.4,0.45,10.97,loss,-10.97,1085.63,1,divergence|magnets,asia_low,2,1.11605,False
2024-09-30,2024-09-30 14:39:00+00:00,2024-09-30T14:40:00.000000,long,Normal,1.11532,1.11492,1.11652,1.11492,4.0,0.27,10.86,loss,-10.86,1074.78,1,divergence|quarters|magnets,prev_day_low,3,1.11512,False
2024-10-02,2024-10-02 12:14:00+00:00,2024-10-02T12:37:00.000000,short,Normal,1.10723,1.10773,1.10573,1.10573,5.0,0.22,10.75,win,32.24,1107.02,1,magnets|gap,asia_high,2,1.10753,False
2024-10-02,2024-10-02 12:34:00+00:00,2024-10-02T12:37:00.000000,long,Normal,1.10615,1.1057,1.1075,1.1057,4.5,0.24,11.07,loss,-11.07,1095.95,2,divergence|magnets,asia_low,2,1.1059,False
2024-10-07,2024-10-07 12:52:00+00:00,2024-10-07T13:07:00.000000,short,Normal,1.09779,1.09807,1.09695,1.09807,2.8,0.39,10.96,loss,-10.96,1084.99,1,divergence|quarters|magnets|gap,asia_high,2,1.09787,True
2024-10-08,2024-10-08 12:59:00+00:00,2024-10-08T14:33:00.000000,long,Normal,1.09759,1.09696,1.09948,1.09696,6.3,0.17,10.85,loss,-10.85,1074.14,1,divergence|quarters|magnets,asia_low,2,1.09716,True
2024-10-10,2024-10-10 12:33:00+00:00,2024-10-10T16:50:00.000000,short,Normal,1.09432,1.09562,1.09042,1.09042,13.0,0.09,10.74,win,32.22,1106.36,1,divergence|gap,asia_high,2,1.09542,False
2024-10-10,2024-10-10 12:35:00+00:00,2024-10-10T16:47:00.000000,short,Normal,1.09411,1.09507,1.09123,1.09123,9.6,0.12,11.06,win,33.19,1139.55,2,divergence|gap,asia_high,2,1.09487,False
2024-10-10,2024-10-10 12:57:00+00:00,2024-10-10T14:28:00.000000,short,Normal,1.09435,1.09499,1.09243,1.09243,6.4,0.18,11.4,win,34.19,1173.74,3,divergence|magnets|gap,asia_high,2,1.09479,True
2024-10-11,2024-10-11 14:03:00+00:00,2024-10-11T14:16:00.000000,short,Normal,1.09397,1.09443,1.09259,1.09443,4.6,0.25,11.74,loss,-11.74,1162.0,1,magnets|gap,asia_high,2,1.09423,False
2024-10-15,2024-10-15 12:42:00+00:00,2024-10-15T13:05:00.000000,short,Normal,1.09099,1.09129,1.09009,1.09129,3.0,0.38,11.62,loss,-11.62,1150.38,1,divergence|magnets|gap,asia_high,2,1.09109,True
2024-10-16,2024-10-16 13:27:00+00:00,2024-10-16T14:25:00.000000,short,Normal,1.08937,1.08994,1.08766,1.08766,5.7,0.21,11.5,win,34.51,1184.89,1,divergence|quarters|magnets|gap,asia_high,2,1.08974,True
2024-10-17,2024-10-17 12:24:00+00:00,2024-10-17T12:30:00.000000,short,Normal,1.0865,1.08683,1.08551,1.08551,3.3,0.37,11.85,win,35.55,1220.44,1,quarters|gap,asia_high,2,1.08663,False
2024-10-22,2024-10-22 12:37:00+00:00,2024-10-22T12:56:00.000000,long,Normal,1.08159,1.08111,1.08303,1.08111,4.8,0.25,12.2,loss,-12.2,1208.24,1,quarters|magnets,asia_low,2,1.08131,False
2024-10-25,2024-10-25 14:46:00+00:00,2024-10-25T14:57:00.000000,short,Normal,1.08288,1.08332,1.08156,1.08332,4.4,0.27,12.08,loss,-12.08,1196.16,1,divergence|quarters|magnets|gap,prev_day_high,3,1.08312,False
2024-10-29,2024-10-29 13:32:00+00:00,2024-10-29T13:54:00.000000,long,Normal,1.08064,1.08028,1.08172,1.08028,3.6,0.33,11.96,loss,-11.96,1184.19,1,divergence|quarters,asia_low,2,1.08048,False
2024-10-30,2024-10-30 12:42:00+00:00,2024-10-30T12:43:00.000000,short,Normal,1.08258,1.08297,1.08141,1.08297,3.9,0.3,11.84,loss,-11.84,1172.35,1,divergence|magnets|gap,prev_day_high,3,1.08277,True
2024-11-01,2024-11-01 12:02:00+00:00,2024-11-01T13:03:00.000000,short,Normal,1.08836,1.08916,1.08596,1.08596,8.0,0.15,11.72,win,35.17,1207.52,1,quarters|gap,prev_day_high,3,1.08896,False
2024-11-01,2024-11-01 12:24:00+00:00,2024-11-01T12:56:00.000000,long,Normal,1.08732,1.08674,1.08906,1.08674,5.8,0.21,12.08,loss,-12.08,1195.45,2,divergence|magnets,asia_low,2,1.08694,False
2024-11-13,2024-11-13 12:23:00+00:00,2024-11-13T12:44:00.000000,short,Normal,1.06279,1.06329,1.06129,1.06329,5.0,0.24,11.95,loss,-11.95,1183.49,1,quarters|gap,asia_high,2,1.06309,False
2024-11-25,2024-11-25 12:57:00+00:00,2024-11-25T13:01:00.000000,short,Normal,1.04895,1.04945,1.04745,1.04945,5.0,0.23,11.83,loss,-11.83,1171.66,1,divergence|magnets|gap,asia_high,2,1.04925,True
2024-11-29,2024-11-29 13:02:00+00:00,2024-11-29T13:22:00.000000,short,Normal,1.05651,1.05676,1.05576,1.05676,2.5,0.46,11.72,loss,-11.72,1159.94,1,divergence|gap,prev_day_high,3,1.05656,False
2024-12-04,2024-12-04 13:30:00+00:00,2024-12-04T13:41:00.000000,long,Normal,1.04948,1.04848,1.05248,1.04848,10.0,0.11,11.6,loss,-11.6,1148.34,1,divergence|magnets,asia_low,2,1.04868,False
2024-12-12,2024-12-12 13:29:00+00:00,2024-12-12T13:38:00.000000,long,Normal,1.0481,1.04769,1.04933,1.04933,4.1,0.29,11.48,win,34.45,1182.79,1,divergence|quarters|magnets,prev_day_low,3,1.04789,False
2024-12-12,2024-12-12 14:18:00+00:00,2024-12-12T15:35:00.000000,long,Normal,1.04883,1.04705,1.05417,1.04705,17.8,0.07,11.83,loss,-11.83,1170.96,2,quarters|magnets,prev_day_low,3,1.04725,False
2024-12-18,2024-12-18 13:02:00+00:00,2024-12-18T13:19:00.000000,long,Normal,1.04939,1.04893,1.05077,1.04893,4.6,0.25,11.71,loss,-11.71,1159.25,1,divergence|quarters|magnets,asia_low,2,1.04913,True
2024-12-27,2024-12-27 13:03:00+00:00,2024-12-27T13:04:00.000000,short,Normal,1.04335,1.04348,1.04296,1.04348,1.3,0.88,11.59,loss,-11.59,1147.66,1,quarters|magnets|gap,prev_day_high,3,1.04328,False
